date_id,date,channel,spend,total_revenue,total_contribution_margin,revenue_proxy,contribution_margin_proxy,mer_proxy
20161003,2016-10-03 00:00:00,Meta,1123.57,559.5300000000001,311.19343000000003,229.18188556054992,127.46393770031096,0.20397650841563048
20161223,2016-12-23 00:00:00,Meta,1175.22,19.62,13.819020000000002,7.0706507699950345,4.980095025666503,0.006016448639399461
20170115,2017-01-15 00:00:00,Meta,1096.98,2551.34,1371.84234,975.1196625995582,524.3168059610198,0.8889128904807364
20170201,2017-02-01 00:00:00,Meta,1716.52,9432.660000000003,5080.927460000001,3953.844614697114,2129.7489441353428,2.3034072511226866
20170210,2017-02-10 00:00:00,Meta,1264.13,15052.880000000001,7323.884380000001,5587.485705761964,2718.556135696513,4.420024606458168
20170323,2017-03-23 00:00:00,Meta,1718.95,18707.83999999999,9721.10004000001,7831.266180589036,4069.337880876405,4.555842916076114
20170326,2017-03-26 00:00:00,Meta,1057.15,7642.020000000002,4099.54672,2779.4445911216167,1491.0276284221138,2.6291865781787034
20170327,2017-03-27 00:00:00,Meta,1576.56,18732.589999999997,9265.326489999998,7700.725428385177,3808.8558658377606,4.884511486010794
20170331,2017-03-31 00:00:00,Meta,1347.57,13753.279999999999,7427.164679999999,5394.296321512562,2913.0743439086546,4.002980417724172
20170405,2017-04-05 00:00:00,Meta,1420.55,20774.55,10344.528249999998,8820.186917193681,4391.944602178648,6.208994345284349
20170418,2017-04-18 00:00:00,Meta,1515.1,23433.859999999993,11957.721860000001,10347.044421194967,5279.842043168054,6.82928151356014
20170422,2017-04-22 00:00:00,Meta,1344.76,14889.700000000008,8026.747500000002,7019.654460232157,3784.1591092857684,5.2200053989054975
20170427,2017-04-27 00:00:00,Meta,1707.34,11871.670000000006,6440.153870000001,5294.953750489816,2872.411117196485,3.1012884079854137
20170430,2017-04-30 00:00:00,Meta,1178.68,9437.000000000002,5035.326399999998,4082.283937975962,2178.1956220394522,3.4634370125699614
20170508,2017-05-08 00:00:00,Meta,1223.09,19022.660000000007,10187.143160000005,7283.481212305248,3900.498974009099,5.954983862434693
20170510,2017-05-10 00:00:00,Meta,1683.09,23258.63999999999,11467.298539999998,10706.761991887814,5278.796875384917,6.3613722331472555
20170511,2017-05-11 00:00:00,Meta,1682.63,21204.039999999997,11446.884839999999,9199.036182760905,4966.049291694284,5.467058225968219
20170513,2017-05-13 00:00:00,Meta,1248.97,10601.949999999999,5514.93695,4489.837140498164,2335.529666298716,3.5948318538461006
20170528,2017-05-28 00:00:00,Meta,1154.12,11120.71,5893.48801,4845.854693911454,2568.0902151723562,4.198744232758686
20170602,2017-06-02 00:00:00,Meta,1459.58,21603.97,11209.62177,9209.215585273536,4778.3728411632455,6.309496968493359
20170607,2017-06-07 00:00:00,Meta,1379.64,15397.670000000006,8508.695870000003,5929.162742070538,3276.4335471544373,4.297615857811123
20170619,2017-06-19 00:00:00,Meta,1371.86,25849.71,13713.628510000008,10461.839400472612,5550.150429902796,7.626025542309429
20170710,2017-07-10 00:00:00,Meta,1451.92,20397.34000000001,10781.744440000004,8732.060141291919,4615.643063169989,6.0141468822606745
20170713,2017-07-13 00:00:00,Meta,1529.71,17902.73,9899.014630000001,8362.107324344048,4623.687155049085,5.466465751249614
20170715,2017-07-15 00:00:00,Meta,918.46,13128.050000000001,7102.546549999999,5056.462034563594,2735.6505329272536,5.505369895873085
20170724,2017-07-24 00:00:00,Meta,1086.88,21344.729999999996,11396.112430000006,7684.029274031678,4102.561218730635,7.069804646356246
20170725,2017-07-25 00:00:00,Meta,1392.06,20104.920000000002,10537.536320000001,8954.03048802493,4693.0513266379585,6.432215915998541
20170728,2017-07-28 00:00:00,Meta,1099.31,23276.3,12697.198499999997,8466.300508549723,4618.358507052528,7.701467746631726
20170808,2017-08-08 00:00:00,Meta,1139.32,21541.129999999997,11096.215730000002,8726.347049206555,4495.095168769924,7.659259074892529
20170809,2017-08-09 00:00:00,Meta,1454.87,23752.269999999993,12605.765270000005,10243.019466958729,5436.158272726033,7.040504970862503
20170814,2017-08-14 00:00:00,Meta,1160.92,21277.159999999993,11562.496359999996,8572.329103068201,4658.400089624185,7.384082540630018
20170910,2017-09-10 00:00:00,Meta,961.12,20702.759999999995,10996.353360000006,8429.393691755662,4477.306003890315,8.770386311548675
20170914,2017-09-14 00:00:00,Meta,1288.03,26502.50999999999,14286.154710000006,10701.955655798347,5768.879785284293,8.308778255008304
20170915,2017-09-15 00:00:00,Meta,1210.13,21359.520000000004,11316.86632,8734.812781151473,4627.946160518523,7.218078042153713
20170925,2017-09-25 00:00:00,Meta,1155.13,20839.709999999985,11152.818409999989,8308.27916294496,4446.354042542431,7.192505746491702
20170926,2017-09-26 00:00:00,Meta,1439.84,25241.669999999984,13492.802470000002,11314.670460476129,6048.1978227410655,7.858283184573376
20171011,2017-10-11 00:00:00,Meta,1269.54,25916.38999999999,13387.640990000002,10933.695030805318,5648.023654782502,8.612328111603667
20171023,2017-10-23 00:00:00,Meta,1167.03,25684.98,13574.248480000004,10031.707142273865,5301.654329799603,8.595929104028059
20171107,2017-11-07 00:00:00,Meta,1180.0,24613.63999999998,13496.63804,9211.048909354993,5050.784568974813,7.805973651995757
